fid,field_1,field_2,field_3,FORM_CODE,IGME_NAME,HYDRO_CODE,H1,SAMPLE_1
"1299","22.2313","40.7349","-6.7729",H,- Βέροια - Αλεξάνδρεια - Πλατύ - Έδεσσα - Γιαννιτσά - Κουφάλια,"111","114",14.1406087875366
"1300","22.198","40.7016","-26.6352",H,- Βέροια - Αλεξάνδρεια - Πλατύ - Έδεσσα - Γιαννιτσά - Κουφάλια,"111","115",14.5235118865967
"1301","22.2313","40.7016","-11.9865",H,- Βέροια - Αλεξάνδρεια - Πλατύ - Έδεσσα - Γιαννιτσά - Κουφάλια,"111","112",11.8566217422485
"1302","22.531","40.7016","-4.5718",H,- Βέροια - Αλεξάνδρεια - Πλατύ - Έδεσσα - Γιαννιτσά - Κουφάλια,"111","104",4.35639095306396
"1303","22.5643","40.7016","-6.8562",H,- Βέροια - Αλεξάνδρεια - Πλατύ - Έδεσσα - Γιαννιτσά - Κουφάλια,"111","105",5.9660439491272
"1304","22.5976","40.7016","-9.4986",H,- Βέροια - Αλεξάνδρεια - Πλατύ - Έδεσσα - Γιαννιτσά - Κουφάλια,"111","107",8.65017890930176
"1305","22.2646","40.6017","-0.4698",H,- Βέροια - Αλεξάνδρεια - Πλατύ - Έδεσσα - Γιαννιτσά - Κουφάλια,"111","109",9.1767635345459
"1306","22.2979","40.6017","3.4688",H,- Βέροια - Αλεξάνδρεια - Πλατύ - Έδεσσα - Γιαννιτσά - Κουφάλια,"111","107",6.81633472442627
"1307","22.3312","40.6017","1.876",H,- Βέροια - Αλεξάνδρεια - Πλατύ - Έδεσσα - Γιαννιτσά - Κουφάλια,"111","109",8.92286682128906
"1308","22.4977","40.6017","-9.6715",H,- Βέροια - Αλεξάνδρεια - Πλατύ - Έδεσσα - Γιαννιτσά - Κουφάλια,"111","107",6.43485116958618
"1309","22.0648","40.5018","-1.082",T-Ji.k,- Βελβεντός - Κοζάνη - Βέροια,"2111","225",1070.15002441406
"1310","22.1647","40.5018","2.4834",Ks.k,- Βελβεντός - Βέροια,"2211","209",414.427062988281
"1311","22.6975","40.8681","4.2811","Pt.l,s",- Κουφάλια - Κιλκίς - Εύζωνοι,"111","127",26.4211292266846
"1312","22.7308","40.8681","7.3771","Pt.l,s",- Κουφάλια - Κιλκίς - Εύζωνοι,"111","132",33.9285736083984
"1313","23.3968","41.2344","-0.9166","Pl.st,l",Σιδηρόκαστρο,"311","152",107.482162475586
"1314","23.4634","41.2011","10.4382",gn-μν,- Αχλαδοχώριον - Νέο Πετρίτσιον - Σιδηρόκαστρο - Σέρραι,"222","219",610.44775390625
"1315","23.3635","41.2011","-12.4133",H.al,- Σοχός - Σιτοχώριον - Ροδολίβος - Νέο Πετρίτσιον - Πόροια -  - Σιδηρόκαστρο - Κερκίνη - Σέρραι - Προσοτσάνη,"111","135",41.5708351135254
"1316","23.3968","41.2011","-3.5185","Pl.st,l",Σιδηρόκαστρο,"121","148",108.910766601562
"1317","23.4301","41.2011","5.9828","Pl.c,st",Σιδηρόκαστρο,"121","176",213.700775146484
"1318","23.4301","41.1678","-2.9335","Pl.st,l",Σιδηρόκαστρο,"121","154",189.424987792969
"1319","23.4634","41.1678","2.2158","Pl.c,st",- Σιδηρόκαστρο - Σέρραι,"111","182",283.377655029297
"1320","23.4301","41.1345","-10.8341",H.al,Σιδηρόκαστρο,"121","140",51.0235481262207
"1321","23.4634","41.1345","-3.5284","M-Pl.st,l,k",Σιδηρόκαστρο,"221","154",144.147552490234
"1322","23.3968","41.1678","-10.6222","H.cs,sc",Σιδηρόκαστρο,"311","131",35.096794128418
"1323","23.3302","41.1345","-18.006",H.al,- Σοχός - Σιτοχώριον - Ροδολίβος - Νέο Πετρίτσιον - Πόροια -  - Σιδηρόκαστρο - Κερκίνη - Σέρραι - Προσοτσάνη,"111","127",27.6646709442139
"1324","23.3968","41.1345","-18.2042","H.s,l",Σιδηρόκαστρο,"121","124",24.6164493560791
"1325","23.4967","41.1012","-1.0519","Pt.cs,sc2",Σιδηρόκαστρο,"311","142",64.2369537353516
"1326","23.4634","41.0679","-22.6473",H.s.l,Σιδηρόκαστρο,"121","114",14.5107765197754
"1327","23.2636","41.0346","20.0233",gn,Θέρμη - Ζαγκλιβέρι - Κιλκίς - Λαχανάς - Σοχός - Χέρσον - Καστανούσα - Κερκίνη - Σιδηρόκαστρο,"323","169",231.189453125
"1328","23.197","41.0013","15.9183",gn,Θέρμη - Ζαγκλιβέρι - Κιλκίς - Λαχανάς - Σοχός - Χέρσον - Καστανούσα - Κερκίνη - Σιδηρόκαστρο,"323","216",566.787170410156
"1329","23.2303","41.0013","21.9322",ab-gn2,- Λαχανάς - Σοχός - Κερκίνη,"323","202",385.411682128906
"1330","21.9316","41.1012","-2.4851",vol,Βιτολίστε,"222","228",1717.81591796875
"1331","21.9649","41.1012","-0.0523",vol,Βιτολίστε,"222","225",1125.84069824219
"1332","21.9316","41.0679","-13.6556",vol,Βιτολίστε,"222","226",1185.70715332031
"1333","21.9649","41.0679","-8.4412",tf,- Προμάχοι - Βιτολίστε,"222","226",1203.2177734375
"1334","21.9316","41.0346","-12.3743",Js-Ki.st,Βιτολίστε,"223","227",1464.48547363281
"1335","21.8983","41.0346","-12.1087",tf,Βιτολίστε,"412","229",1711.31518554688
"1336","21.9316","41.0013","-7.414",T-Js.sch,- Αρνίσσα - Βιτολίστε,"322","221",772.760864257812
"1337","21.865","41.0013","-5.1683",T-Js?mr1d,- Αρνίσσα - Βιτολίστε,"2132","225",1177.89270019531
"1338","21.8983","41.0013","-8.8899",Ki.st,- Βιτολίστε,"311","226",1222.34777832031
"1339","21.9982","41.1012","2.6691",vol,- Προμάχοι - Βιτολίστε,"222","224",929.870239257812
"1340","21.9982","41.0679","-0.6808","Js,sch",- Προμάχοι - Βιτολίστε,"413","226",1283.64086914062
