   20.200000   42.300000      5.2346
   20.233300   42.300000      9.2335
   20.266600   42.300000     14.0217
   20.299900   42.300000     16.1662
   20.333200   42.300000     13.8260
   20.366500   42.300000      9.3823
   20.399800   42.300000      9.6856
   20.433100   42.300000     14.8825
   20.466400   42.300000     15.8898
   20.499700   42.300000     10.2366
   20.533000   42.300000     -5.1352
   20.566300   42.300000    -14.2240
   20.599600   42.300000    -13.0539
   20.632900   42.300000    -12.7160
   20.666200   42.300000    -19.5797
   20.699500   42.300000    -25.2963
   20.732800   42.300000    -22.0463
   20.766100   42.300000    -16.9834
   20.799400   42.300000    -17.0872
   20.832700   42.300000    -13.2601
   20.866000   42.300000      5.1068
   20.899300   42.300000     23.9764
   20.932600   42.300000     17.5229
   20.965900   42.300000    -12.6235
   20.999200   42.300000    -33.9923
   21.032500   42.300000    -26.0911
   21.065800   42.300000     -1.2152
   21.099100   42.300000     22.0312
   21.132400   42.300000     23.0407
   21.165700   42.300000      7.6833
   21.199000   42.300000     -3.2683
   21.232300   42.300000     -4.4237
   21.265600   42.300000      0.2490
   21.298900   42.300000      4.5548
   21.332200   42.300000      3.2454
   21.365500   42.300000     -0.6002
   21.398800   42.300000      1.7051
   21.432100   42.300000      8.5622
   21.465400   42.300000     11.3642
   21.498700   42.300000      6.6507
   21.532000   42.300000      1.6402
   21.565300   42.300000      0.0664
   21.598600   42.300000     -2.4336
   21.631900   42.300000     -5.9379
   21.665200   42.300000     -7.3267
   21.698500   42.300000     -3.4742
   21.731800   42.300000     -0.2396
   21.765100   42.300000      1.3681
   21.798400   42.300000      3.5691
   21.831700   42.300000      3.8703
   21.865000   42.300000     -4.0727
   21.898300   42.300000    -14.2811
   21.931600   42.300000    -20.3629
   21.964900   42.300000    -17.1556
   21.998200   42.300000     -7.0454
   22.031500   42.300000      3.5141
   22.064800   42.300000      9.1206
   22.098100   42.300000     11.7155
   22.131400   42.300000     14.7344
   22.164700   42.300000     15.9367
   22.198000   42.300000     13.6391
   22.231300   42.300000      5.8485
   22.264600   42.300000     -1.5073
   22.297900   42.300000     -4.5279
   22.331200   42.300000     -4.9984
   22.364500   42.300000     -4.8605
   22.397800   42.300000      0.3887
   22.431100   42.300000     14.2987
   22.464400   42.300000     27.9751
   22.497700   42.300000     33.3483
   22.531000   42.300000     20.4252
   22.564300   42.300000      6.1842
   22.597600   42.300000     -0.0659
   22.630900   42.300000      3.3262
   22.664200   42.300000     15.8055
   22.697500   42.300000     30.8241
   22.730800   42.300000     35.7046
   22.764100   42.300000     15.9515
   22.797400   42.300000    -22.4437
   22.830700   42.300000    -52.1872
   22.864000   42.300000    -53.1888
   22.897300   42.300000    -34.5309
   22.930600   42.300000    -27.1627
   22.963900   42.300000    -34.0843
   22.997200   42.300000    -33.1253
   23.030500   42.300000      1.4987
   23.063800   42.300000     47.9054
   23.097100   42.300000     67.4683
   23.130400   42.300000     34.7646
   23.163700   42.300000    -30.3812
   23.197000   42.300000    -86.9043
   23.230300   42.300000   -108.0102
   23.263600   42.300000    -85.3971
   23.296900   42.300000    -32.9681
   23.330200   42.300000      8.9721
   23.363500   42.300000      1.8790
